date,new_cases,total_cases,new_tests,total_tests,new_deaths,total_deaths,cases_per_million,tests_per_million,deaths_per_million
2020-01-03,0,0,,,0,0,0.0,0.0,
2020-01-04,0,0,,,0,0,0.0,0.0,
2020-01-05,0,0,,,0,0,0.0,0.0,
2020-01-06,0,0,,,0,0,0.0,0.0,
2020-01-07,0,0,,,0,0,0.0,0.0,
2020-01-08,0,0,,,0,0,0.0,0.0,
2020-01-09,0,0,,,0,0,0.0,0.0,
2020-01-10,0,0,,,0,0,0.0,0.0,
2020-01-11,0,0,,,0,0,0.0,0.0,
2020-01-12,0,0,,,0,0,0.0,0.0,
2020-01-13,0,0,,,0,0,0.0,0.0,
2020-01-14,0,0,,,0,0,0.0,0.0,
2020-01-15,0,0,,,0,0,0.0,0.0,
2020-01-16,0,0,,,0,0,0.0,0.0,
2020-01-17,0,0,,,0,0,0.0,0.0,
2020-01-18,0,0,,,0,0,0.0,0.0,
2020-01-19,0,0,,,0,0,0.0,0.0,
2020-01-20,0,0,,,0,0,0.0,0.0,
2020-01-21,0,0,,,0,0,0.0,0.0,
2020-01-22,0,0,,,0,0,0.0,0.0,
2020-01-23,0,0,,,0,0,0.0,0.0,
2020-01-24,0,0,,,0,0,0.0,0.0,
2020-01-25,0,0,,,0,0,0.0,0.0,
2020-01-26,0,0,,,0,0,0.0,0.0,
2020-01-27,0,0,,,0,0,0.0,0.0,
2020-01-28,0,0,,,0,0,0.0,0.0,
2020-01-29,0,0,,,0,0,0.0,0.0,
2020-01-30,0,0,,,0,0,0.0,0.0,
2020-01-31,3,3,,,0,0,0.04961808299940915,0.0,
2020-02-01,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-02,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-03,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-04,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-05,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-06,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-07,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-08,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-09,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-10,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-11,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-12,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-13,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-14,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-15,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-16,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-17,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-18,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-19,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-20,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-21,0,3,,,0,0,0.04961808299940915,0.0,
2020-02-22,14,17,,,0,0,0.28116913699665186,0.0,
2020-02-23,62,79,,,2,2,1.3066095189844409,0.0330787219996061,
2020-02-24,53,132,,,0,2,2.1831956519740023,0.0330787219996061,
2020-02-25,97,229,,,4,6,3.7875136689548983,0.0992361659988183,
2020-02-26,93,322,,,5,11,5.325674241936582,0.18193297099783354,
2020-02-27,78,400,,,1,12,6.61574439992122,0.1984723319976366,
2020-02-28,250,650,,,5,17,10.750584649871982,0.28116913699665186,
2020-02-29,238,888,,,4,21,14.686952567825108,0.34732658099586405,
2020-03-01,240,1128,,,8,29,18.656399207777838,0.47964146899428844,
2020-03-02,561,1689,,,6,35,27.93498072866735,0.5788776349931067,
2020-03-03,347,2036,,,17,52,33.67413899559901,0.8600467719897585,
2020-03-04,466,2502,,,28,80,41.38148122150723,1.323148879984244,
2020-03-05,587,3089,,,27,107,51.09008612839162,1.7697116269789264,
2020-03-06,769,3858,,,41,148,63.80885473724016,2.447825427970851,
2020-03-07,778,4636,,,49,197,76.67647759508694,3.2582541169612007,
2020-03-08,1247,5883,,,36,233,97.30106076184134,3.8536711129541104,
2020-03-09,1492,7375,,,133,366,121.97778737354749,6.053406125927916,
2020-03-10,1797,9172,,,98,464,151.69901909019356,7.674263503908615,
2020-03-11,977,10149,,,167,631,167.85797478700115,10.436336790875725,
2020-03-12,2313,12462,,,196,827,206.1135167795456,13.678051546837121,
2020-03-13,2651,15113,,,189,1016,249.95936279002348,16.8039907757999,
2020-03-14,2547,17660,,,252,1268,292.0851152565219,20.971909747750267,
2020-03-15,3497,21157,,,173,1441,349.9232606728331,23.833219200716194,
2020-03-16,2823,23980,,,370,1811,396.6138767752771,29.95278277064332,
2020-03-17,4000,27980,,,347,2158,462.7713207744893,35.69194103757498,
2020-03-18,3526,31506,,,347,2505,521.0891076597949,41.43109930450664,
2020-03-19,4207,35713,,,473,2978,590.6701993859663,49.254217057413484,
